 COVID-19   is a   wikipedia article 
 rev_1341407747   is a   wikipedia revision 
 rev_1341407747   by user   Velayinosu 
 lex_72656d6f7665   has text   remove 
 lex_72656d6f7665   kind   lexeme 
 lex_61726368697665   has text   archive 
 lex_61726368697665   kind   lexeme 
 lex_2e   has text   . 
 lex_2e   kind   lexeme 
 lex_746f646179   has text   today 
 lex_746f646179   kind   lexeme 
 lex_75726c   has text   url 
 lex_75726c   kind   lexeme 
 rev_1341407747   has comment  < lex_72656d6f7665   lex_61726368697665   lex_2e   lex_746f646179   lex_75726c >
 rev_1341201930   is a   wikipedia revision 
 rev_1341201930   by user   Headbomb 
 lex_2f   has text   / 
 lex_2f   kind   lexeme 
 lex_2a   has text   * 
 lex_2a   kind   lexeme 
 lex_42696f657468696373   has text   Bioethics 
 lex_42696f657468696373   kind   lexeme 
 lex_2a   has text   * 
 lex_2a   kind   lexeme 
 lex_2f   has text   / 
 lex_2f   kind   lexeme 
 lex_7c   has text   | 
 lex_7c   kind   lexeme 
 lex_4164646564   has text   Added 
 lex_4164646564   kind   lexeme 
 lex_646f69   has text   doi 
 lex_646f69   kind   lexeme 
 lex_2d   has text   - 
 lex_2d   kind   lexeme 
 lex_616363657373   has text   access 
 lex_616363657373   kind   lexeme 
 lex_2e   has text   . 
 lex_2e   kind   lexeme 
 lex_7c   has text   | 
 lex_7c   kind   lexeme 
 lex_5b   has text  [
 lex_5b   kind   lexeme 
 lex_5b   has text  [
 lex_5b   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
 lex_656e   has text   en 
 lex_656e   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
 lex_5750   has text   WP 
 lex_5750   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
 lex_554342   has text   UCB 
 lex_554342   kind   lexeme 
 lex_7c   has text   | 
 lex_7c   kind   lexeme 
 lex_557365   has text   Use 
 lex_557365   kind   lexeme 
 lex_74686973   has text   this 
 lex_74686973   kind   lexeme 
 lex_746f6f6c   has text   tool 
 lex_746f6f6c   kind   lexeme 
 lex_5d   has text  ]
 lex_5d   kind   lexeme 
 lex_5d   has text  ]
 lex_5d   kind   lexeme 
 lex_2e   has text   . 
 lex_2e   kind   lexeme 
 lex_5b   has text  [
 lex_5b   kind   lexeme 
 lex_5b   has text  [
 lex_5b   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
 lex_656e   has text   en 
 lex_656e   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
 lex_5750   has text   WP 
 lex_5750   kind   lexeme 
 lex_3a   has text   : 
 lex_3a   kind   lexeme 
